114.119.138.117 - - [27/Apr/2025:02:01:37 -0400] "GET /index.php/Detail/occurrences/114 HTTP/1.1" 499 0 "https://35.239.124.218/index.php/Detail/occurrences/114" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
196.251.86.64 - - [27/Apr/2025:02:03:16 -0400] "GET /.env HTTP/1.1" 404 276 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows Phone 8.0; Trident/6.0; IEMobile/10.0; ARM; Touch)"
196.251.87.86 - - [27/Apr/2025:02:05:44 -0400] "GET /.env HTTP/1.1" 404 276 "-" "Mozilla/5.0 (X11; U; Linux x86_64; en-AU) AppleWebKit/534.35 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.35 Puffin/3.9174IT"
198.235.24.139 - - [27/Apr/2025:02:07:33 -0400] "GET / HTTP/1.1" 301 162 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
198.235.24.139 - - [27/Apr/2025:02:07:43 -0400] "GET / HTTP/1.1" 499 0 "http://35.239.124.218:80/" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
196.251.86.64 - - [27/Apr/2025:02:11:03 -0400] "GET /.env HTTP/1.1" 404 276 "-" "Mozilla/5.0 (Linux; Android 5.1.1; Coolpad 3622A Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36"
66.249.73.98 - - [27/Apr/2025:02:23:52 -0400] "GET /index.php/Browse/entities/key/2d525fa4bd06e5384f9d088b4723d46a/facet/collection_facet/id/23/view/images HTTP/1.1" 200 140 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.7049.95 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
104.167.222.240 - - [27/Apr/2025:02:27:18 -0400] "GET / HTTP/1.1" 499 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
104.167.222.240 - - [27/Apr/2025:02:27:29 -0400] "GET / HTTP/1.1" 499 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
104.167.222.240 - - [27/Apr/2025:02:27:40 -0400] "GET / HTTP/1.1" 499 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
104.167.222.240 - - [27/Apr/2025:02:27:51 -0400] "GET / HTTP/1.1" 499 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
104.167.222.240 - - [27/Apr/2025:02:28:02 -0400] "GET / HTTP/1.1" 499 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
154.81.156.7 - - [27/Apr/2025:02:30:36 -0400] "GET / HTTP/1.1" 301 162 "-" "-"
154.81.156.10 - - [27/Apr/2025:02:35:34 -0400] "PROPFIND / HTTP/1.1" 499 0 "-" "-"
154.81.156.54 - - [27/Apr/2025:02:42:03 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
205.210.31.139 - - [27/Apr/2025:02:42:49 -0400] "GET / HTTP/1.0" 301 162 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
185.16.38.107 - - [27/Apr/2025:02:56:42 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
64.62.156.135 - - [27/Apr/2025:03:02:13 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
185.255.122.19 - - [27/Apr/2025:03:07:28 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
64.62.156.139 - - [27/Apr/2025:03:09:29 -0400] "GET /webui/ HTTP/1.1" 301 162 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
64.62.156.138 - - [27/Apr/2025:03:09:55 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
64.62.156.134 - - [27/Apr/2025:03:09:58 -0400] "GET / HTTP/1.1" 499 0 "http://35.239.124.218/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
64.62.156.134 - - [27/Apr/2025:03:23:22 -0400] "GET /favicon.ico HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
64.62.156.134 - - [27/Apr/2025:03:24:08 -0400] "GET /geoserver/web/ HTTP/1.1" 301 162 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
114.119.133.166 - - [27/Apr/2025:03:24:57 -0400] "GET /index.php/Detail/objects/94/view/pdf/export_format/_pdf_ca_objects_summary HTTP/1.1" 499 0 "https://35.239.124.218/index.php/Detail/objects/94" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
154.81.156.54 - - [27/Apr/2025:03:24:57 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
147.182.192.11 - - [27/Apr/2025:03:26:25 -0400] "GET / HTTP/1.0" 301 162 "-" "-"
